Testing_Env,consumer_card_number,amount,transaction_type,currency,tid,merchant_name,merchant_id,merchant_email,merchant_pwd,totp_secret,first_name,last_name,phone
Stage,9000013955775071,1,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,2,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,3,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,4,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,5,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,6,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,7,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,8,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,9,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,10,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,11,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,12,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,13,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,14,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
Stage,9000013955775071,15,sale,USD,LUT,John Snow,ae0f3618-9fb0-490d-9fa7-d447f0703e00,johnsnow@gmail.com,Admin@123,GIZTAOJXGY3DAMZY,John,Doe,1664976897
